Repo,Metric,Value,
cni,* Maximum tag depth      [5],1,
cni,,,
cni,Biggest checkouts,,
cni,* Number of directories  [6],105,
cni,* Maximum path depth     [7],11,*
cni,* Maximum path length    [7],109 B,*
cni,* Number of files        [8],577,
cni,* Total size of files    [9],4.58 MiB,
cni,* Number of symlinks,0,
cni,* Number of submodules,0,
distribution,Name,Value,Level of concern
distribution,----------------------------,---------,------------------------------
distribution,Overall repository size,,
distribution,* Commits,,
distribution,* Count,5.92 k,
distribution,* Total size,3.19 MiB,
distribution,* Trees,,
distribution,* Count,18.4 k,
distribution,* Total size,9.60 MiB,
distribution,* Total tree entries,266 k,
distribution,* Blobs,,
distribution,* Count,20.5 k,
distribution,* Total size,332 MiB,
distribution,* Annotated tags,,
distribution,* Count,57,
distribution,* References,,
distribution,* Count,87,
distribution,* Branches,1,
distribution,* Tags,61,
distribution,* Remote-tracking refs,25,
distribution,,,
distribution,Biggest objects,,
distribution,* Commits,,
distribution,* Maximum size         [1],7.11 KiB,
distribution,* Maximum parents      [2],2,
distribution,* Trees,,
distribution,* Maximum entries      [3],317,
distribution,* Blobs,,
distribution,* Maximum size         [4],2.79 MiB,
distribution,,,
distribution,History structure,,
distribution,* Maximum history depth,2.64 k,
distribution,* Maximum tag depth      [5],2,*
distribution,,,
distribution,Biggest checkouts,,
distribution,* Number of directories  [6],1.05 k,
distribution,* Maximum path depth     [7],17,*
distribution,* Maximum path length    [6],170 B,*
distribution,* Number of files        [6],4.22 k,
distribution,* Total size of files    [8],60.7 MiB,
distribution,* Number of symlinks,0,
distribution,* Number of submodules,0,
restic,Name,Value,Level of concern
restic,----------------------------,---------,------------------------------
restic,Overall repository size,,
restic,* Commits,,
restic,* Count,8.87 k,
restic,* Total size,3.80 MiB,
restic,* Trees,,
restic,* Count,34.4 k,
restic,* Total size,24.1 MiB,
restic,* Total tree entries,646 k,
restic,* Blobs,,
restic,* Count,37.1 k,
restic,* Total size,866 MiB,
restic,* Annotated tags,,
restic,* Count,49,
restic,* References,,
restic,* Count,59,
restic,* Branches,1,
restic,* Tags,49,
restic,* Remote-tracking refs,9,
restic,,,
restic,Biggest objects,,
restic,* Commits,,
restic,* Maximum size         [1],5.10 KiB,
restic,* Maximum parents      [2],2,
restic,* Trees,,
restic,* Maximum entries      [3],272,
restic,* Blobs,,
restic,* Maximum size         [4],6.02 MiB,
restic,,,
restic,History structure,,
restic,* Maximum history depth,6.28 k,
restic,* Maximum tag depth      [5],1,
restic,,,
restic,Biggest checkouts,,
restic,* Number of directories  [6],2.32 k,*
restic,* Maximum path depth     [6],17,*
restic,* Maximum path length    [6],143 B,*
restic,* Number of files        [6],8.11 k,
restic,* Total size of files    [6],226 MiB,
restic,* Number of symlinks     [7],1,
restic,* Number of submodules,0,
terraform-google-forseti,Name,Value,Level of concern
terraform-google-forseti,----------------------------,---------,------------------------------
terraform-google-forseti,Overall repository size,,
terraform-google-forseti,* Commits,,
terraform-google-forseti,* Count,1.11 k,
terraform-google-forseti,* Total size,575 KiB,
terraform-google-forseti,* Trees,,
terraform-google-forseti,* Count,4.38 k,
terraform-google-forseti,* Total size,1.25 MiB,
terraform-google-forseti,* Total tree entries,34.1 k,
terraform-google-forseti,* Blobs,,
terraform-google-forseti,* Count,3.10 k,
terraform-google-forseti,* Total size,21.8 MiB,
terraform-google-forseti,* Annotated tags,,
terraform-google-forseti,* Count,13,
terraform-google-forseti,* References,,
terraform-google-forseti,* Count,66,
terraform-google-forseti,* Branches,1,
terraform-google-forseti,* Tags,34,
terraform-google-forseti,* Remote-tracking refs,31,
terraform-google-forseti,,,
terraform-google-forseti,Biggest objects,,
terraform-google-forseti,* Commits,,
terraform-google-forseti,* Maximum size         [1],3.17 KiB,
terraform-google-forseti,* Maximum parents      [2],2,
terraform-google-forseti,* Trees,,
terraform-google-forseti,* Maximum entries      [3],24,
terraform-google-forseti,* Blobs,,
terraform-google-forseti,* Maximum size         [4],32.2 KiB,
terraform-google-forseti,,,
terraform-google-forseti,History structure,,
terraform-google-forseti,* Maximum history depth,773,
terraform-google-forseti,* Maximum tag depth      [5],1,
terraform-google-forseti,,,
terraform-google-forseti,Biggest checkouts,,
terraform-google-forseti,* Number of directories  [6],102,
terraform-google-forseti,* Maximum path depth     [6],7,
terraform-google-forseti,* Maximum path length    [7],99 B,
terraform-google-forseti,* Number of files        [6],290,
terraform-google-forseti,* Total size of files    [8],828 KiB,
terraform-google-forseti,* Number of symlinks     [9],13,
terraform-google-forseti,* Number of submodules  [10],1,
iojs.org,Name,Value,Level of concern
iojs.org,----------------------------,---------,------------------------------
iojs.org,Overall repository size,,
iojs.org,* Commits,,
iojs.org,* Count,793,
iojs.org,* Total size,233 KiB,
iojs.org,* Trees,,
iojs.org,* Count,2.53 k,
iojs.org,* Total size,873 KiB,
iojs.org,* Total tree entries,26.6 k,
iojs.org,* Blobs,,
iojs.org,* Count,2.48 k,
iojs.org,* Total size,12.5 MiB,
iojs.org,* Annotated tags,,
iojs.org,* Count,0,
iojs.org,* References,,
iojs.org,* Count,24,
iojs.org,* Branches,1,
iojs.org,* Remote-tracking refs,23,
iojs.org,,,
iojs.org,Biggest objects,,
iojs.org,* Commits,,
iojs.org,* Maximum size         [1],823 B,
iojs.org,* Maximum parents      [2],2,
iojs.org,* Trees,,
iojs.org,* Maximum entries      [3],39,
iojs.org,* Blobs,,
iojs.org,* Maximum size         [4],77.8 KiB,
iojs.org,,,
iojs.org,History structure,,
iojs.org,* Maximum history depth,479,
iojs.org,* Maximum tag depth,0,
iojs.org,,,
iojs.org,Biggest checkouts,,
iojs.org,* Number of directories  [5],71,
iojs.org,* Maximum path depth     [6],4,
iojs.org,* Maximum path length    [6],47 B,
iojs.org,* Number of files        [5],250,
iojs.org,* Total size of files    [7],1.13 MiB,
iojs.org,* Number of symlinks,0,
iojs.org,* Number of submodules,0,
crossplane,Name,Value,Level of concern
crossplane,----------------------------,---------,------------------------------
crossplane,Overall repository size,,
crossplane,* Commits,,
crossplane,* Count,8.94 k,
crossplane,* Total size,7.21 MiB,
crossplane,* Trees,,
crossplane,* Count,35.4 k,
crossplane,* Total size,14.1 MiB,
crossplane,* Total tree entries,384 k,
crossplane,* Blobs,,
crossplane,* Count,21.1 k,
crossplane,* Total size,293 MiB,
crossplane,* Annotated tags,,
crossplane,* Count,131,
crossplane,* References,,
crossplane,* Count,165,
crossplane,* Branches,1,
crossplane,* Tags,134,
crossplane,* Remote-tracking refs,30,
crossplane,,,
crossplane,Biggest objects,,
crossplane,* Commits,,
crossplane,* Maximum size         [1],2.48 KiB,
crossplane,* Maximum parents      [2],2,
crossplane,* Trees,,
crossplane,* Maximum entries      [3],41,
crossplane,* Blobs,,
crossplane,* Maximum size         [4],3.09 MiB,
crossplane,,,
crossplane,History structure,,
crossplane,* Maximum history depth,5.12 k,
crossplane,* Maximum tag depth      [5],1,
crossplane,,,
crossplane,Biggest checkouts,,
crossplane,* Number of directories  [6],240,
crossplane,* Maximum path depth     [7],10,*
crossplane,* Maximum path length    [8],119 B,*
crossplane,* Number of files        [9],817,
crossplane,* Total size of files   [10],20.5 MiB,
crossplane,* Number of symlinks,0,
crossplane,* Number of submodules  [11],1,
ecmascript-modules,Name,Value,Level of concern
ecmascript-modules,----------------------------,---------,------------------------------
ecmascript-modules,Overall repository size,,
ecmascript-modules,* Commits,,
ecmascript-modules,* Count,30.2 k,
ecmascript-modules,* Total size,20.7 MiB,
ecmascript-modules,* Trees,,
ecmascript-modules,* Count,136 k,
ecmascript-modules,* Total size,791 MiB,
ecmascript-modules,* Total tree entries,15.8 M,
ecmascript-modules,* Blobs,,
ecmascript-modules,* Count,272 k,
ecmascript-modules,* Total size,5.83 GiB,
ecmascript-modules,* Annotated tags,,
ecmascript-modules,* Count,0,
ecmascript-modules,* References,,
ecmascript-modules,* Count,6,
ecmascript-modules,* Branches,1,
ecmascript-modules,* Remote-tracking refs,5,
ecmascript-modules,,,
ecmascript-modules,Biggest objects,,
ecmascript-modules,* Commits,,
ecmascript-modules,* Maximum size         [1],11.3 KiB,
ecmascript-modules,* Maximum parents      [2],2,
ecmascript-modules,* Trees,,
ecmascript-modules,* Maximum entries      [3],2.45 k,**
ecmascript-modules,* Blobs,,
ecmascript-modules,* Maximum size         [4],9.46 MiB,
ecmascript-modules,,,
ecmascript-modules,History structure,,
ecmascript-modules,* Maximum history depth,27.9 k,
ecmascript-modules,* Maximum tag depth,0,
ecmascript-modules,,,
ecmascript-modules,Biggest checkouts,,
ecmascript-modules,* Number of directories  [5],3.45 k,*
ecmascript-modules,* Maximum path depth     [6],30,***
ecmascript-modules,* Maximum path length    [6],240 B,**
ecmascript-modules,* Number of files        [7],33.6 k,
ecmascript-modules,* Total size of files    [8],363 MiB,
ecmascript-modules,* Number of symlinks     [9],114,
ecmascript-modules,* Number of submodules  [10],3,
nats-site,Name,Value,Level of concern
nats-site,----------------------------,---------,------------------------------
nats-site,Overall repository size,,
nats-site,* Commits,,
nats-site,* Count,2.50 k,
nats-site,* Total size,1.21 MiB,
nats-site,* Trees,,
nats-site,* Count,6.72 k,
nats-site,* Total size,4.72 MiB,
nats-site,* Total tree entries,107 k,
nats-site,* Blobs,,
nats-site,* Count,4.05 k,
nats-site,* Total size,151 MiB,
nats-site,* Annotated tags,,
nats-site,* Count,0,
nats-site,* References,,
nats-site,* Count,99,
nats-site,* Branches,1,
nats-site,* Tags,78,
nats-site,* Remote-tracking refs,20,
nats-site,,,
nats-site,Biggest objects,,
nats-site,* Commits,,
nats-site,* Maximum size         [1],5.71 KiB,
nats-site,* Maximum parents      [2],2,
nats-site,* Trees,,
nats-site,* Maximum entries      [3],120,
nats-site,* Blobs,,
nats-site,* Maximum size         [4],24.3 MiB,**
nats-site,,,
nats-site,History structure,,
nats-site,* Maximum history depth,1.78 k,
nats-site,* Maximum tag depth,0,
nats-site,,,
nats-site,Biggest checkouts,,
nats-site,* Number of directories  [5],144,
nats-site,* Maximum path depth     [6],6,
nats-site,* Maximum path length    [7],154 B,*
nats-site,* Number of files        [5],1.01 k,
nats-site,* Total size of files    [5],97.1 MiB,
nats-site,* Number of symlinks,0,
nats-site,* Number of submodules   [8],1,
proposal,Name,Value,Level of concern
proposal,----------------------------,---------,------------------------------
proposal,Overall repository size,,
proposal,* Commits,,
proposal,* Count,730,
proposal,* Total size,430 KiB,
proposal,* Trees,,
proposal,* Count,719,
proposal,* Total size,2.46 MiB,
proposal,* Total tree entries,47.9 k,
proposal,* Blobs,,
proposal,* Count,715,
proposal,* Total size,15.8 MiB,
proposal,* Annotated tags,,
proposal,* Count,0,
proposal,* References,,
proposal,* Count,16,
proposal,* Branches,1,
proposal,* Remote-tracking refs,15,
proposal,,,
proposal,Biggest objects,,
proposal,* Commits,,
proposal,* Maximum size         [1],2.89 KiB,
proposal,* Maximum parents      [2],2,
proposal,* Trees,,
proposal,* Maximum entries      [3],200,
proposal,* Blobs,,
proposal,* Maximum size         [4],497 KiB,
proposal,,,
proposal,History structure,,
proposal,* Maximum history depth,462,
proposal,* Maximum tag depth,0,
proposal,,,
proposal,Biggest checkouts,,
proposal,* Number of directories  [3],25,
proposal,* Maximum path depth     [3],2,
proposal,* Maximum path length    [3],68 B,
proposal,* Number of files        [3],243,
proposal,* Total size of files    [3],9.21 MiB,
proposal,* Number of symlinks,0,
proposal,* Number of submodules,0,
cubefs,Name,Value,Level of concern
cubefs,----------------------------,---------,------------------------------
