Repo,Metric,Value,
solidus,* Total size of files    [8],19.7 MiB,
solidus,* Number of symlinks     [9],1,
solidus,* Number of submodules  [10],1,
docker-node,Name,Value,Level of concern
docker-node,----------------------------,---------,------------------------------
docker-node,Overall repository size,,
docker-node,* Commits,,
docker-node,* Count,2.04 k,
docker-node,* Total size,1.15 MiB,
docker-node,* Trees,,
docker-node,* Count,7.10 k,
docker-node,* Total size,1.75 MiB,
docker-node,* Total tree entries,45.8 k,
docker-node,* Blobs,,
docker-node,* Count,5.90 k,
docker-node,* Total size,16.6 MiB,
docker-node,* Annotated tags,,
docker-node,* Count,0,
docker-node,* References,,
docker-node,* Count,3,
docker-node,* Branches,1,
docker-node,* Remote-tracking refs,2,
docker-node,,,
docker-node,Biggest objects,,
docker-node,* Commits,,
docker-node,* Maximum size         [1],2.67 KiB,
docker-node,* Maximum parents      [2],2,
docker-node,* Trees,,
docker-node,* Maximum entries      [3],29,
docker-node,* Blobs,,
docker-node,* Maximum size         [4],16.3 KiB,
docker-node,,,
docker-node,History structure,,
docker-node,* Maximum history depth,1.79 k,
docker-node,* Maximum tag depth,0,
docker-node,,,
docker-node,Biggest checkouts,,
docker-node,* Number of directories  [5],51,
docker-node,* Maximum path depth     [6],3,
docker-node,* Maximum path length    [6],43 B,
docker-node,* Number of files        [5],116,
docker-node,* Total size of files    [5],240 KiB,
docker-node,* Number of symlinks,0,
docker-node,* Number of submodules,0,
tldr,Name,Value,Level of concern
tldr,----------------------------,---------,------------------------------
tldr,Overall repository size,,
tldr,* Commits,,
tldr,* Count,16.8 k,
tldr,* Total size,10.7 MiB,
tldr,* Trees,,
tldr,* Count,56.8 k,
tldr,* Total size,526 MiB,
tldr,* Total tree entries,14.4 M,
tldr,* Blobs,,
tldr,* Count,56.1 k,
tldr,* Total size,39.8 MiB,
tldr,* Annotated tags,,
tldr,* Count,3,
tldr,* References,,
tldr,* Count,20,
tldr,* Branches,1,
tldr,* Tags,10,
tldr,* Remote-tracking refs,9,
tldr,,,
tldr,Biggest objects,,
tldr,* Commits,,
tldr,* Maximum size         [1],4.62 KiB,
tldr,* Maximum parents      [2],2,
tldr,* Trees,,
tldr,* Maximum entries      [3],3.47 k,***
tldr,* Blobs,,
tldr,* Maximum size         [4],543 KiB,
tldr,,,
tldr,History structure,,
tldr,* Maximum history depth,15.6 k,
tldr,* Maximum tag depth      [5],1,
tldr,,,
tldr,Biggest checkouts,,
tldr,* Number of directories  [6],261,
tldr,* Maximum path depth     [7],4,
tldr,* Maximum path length    [8],63 B,
tldr,* Number of files        [8],21.2 k,
tldr,* Total size of files    [9],12.7 MiB,
tldr,* Number of symlinks     [8],1,
tldr,* Number of submodules,0,
undici,Name,Value,Level of concern
undici,----------------------------,---------,------------------------------
undici,Overall repository size,,
undici,* Commits,,
undici,* Count,3.65 k,
undici,* Total size,2.44 MiB,
undici,* Trees,,
undici,* Count,12.7 k,
undici,* Total size,11.5 MiB,
undici,* Total tree entries,295 k,
undici,* Blobs,,
undici,* Count,13.4 k,
undici,* Total size,143 MiB,
undici,* Annotated tags,,
undici,* Count,111,
undici,* References,,
undici,* Count,292,
undici,* Branches,1,
undici,* Tags,219,
undici,* Remote-tracking refs,72,
undici,,,
undici,Biggest objects,,
undici,* Commits,,
undici,* Maximum size         [1],7.31 KiB,
undici,* Maximum parents      [2],2,
undici,* Trees,,
undici,* Maximum entries      [3],400,
undici,* Blobs,,
undici,* Maximum size         [4],10.0 MiB,*
undici,,,
undici,History structure,,
undici,* Maximum history depth,3.30 k,
undici,* Maximum tag depth      [5],1,
undici,,,
undici,Biggest checkouts,,
undici,* Number of directories  [6],296,
undici,* Maximum path depth     [7],10,*
undici,* Maximum path length    [7],144 B,*
undici,* Number of files        [6],3.77 k,
undici,* Total size of files    [8],21.2 MiB,
undici,* Number of symlinks     [9],1,
undici,* Number of submodules  [10],1,
dlm-etcd,Name,Value,Level of concern
dlm-etcd,----------------------------,---------,------------------------------
dlm-etcd,Overall repository size,,
dlm-etcd,* Commits,,
dlm-etcd,* Count,20.4 k,
dlm-etcd,* Total size,8.16 MiB,
dlm-etcd,* Trees,,
dlm-etcd,* Count,49.4 k,
dlm-etcd,* Total size,48.6 MiB,
dlm-etcd,* Total tree entries,1.36 M,
dlm-etcd,* Blobs,,
dlm-etcd,* Count,43.8 k,
dlm-etcd,* Total size,578 MiB,
dlm-etcd,* Annotated tags,,
dlm-etcd,* Count,276,
dlm-etcd,* References,,
dlm-etcd,* Count,309,
dlm-etcd,* Branches,1,
dlm-etcd,* Tags,284,
dlm-etcd,* Remote-tracking refs,24,
dlm-etcd,,,
dlm-etcd,Biggest objects,,
dlm-etcd,* Commits,,
dlm-etcd,* Maximum size         [1],10.3 KiB,
dlm-etcd,* Maximum parents      [2],2,
dlm-etcd,* Trees,,
dlm-etcd,* Maximum entries      [3],289,
dlm-etcd,* Blobs,,
dlm-etcd,* Maximum size         [4],4.72 MiB,
dlm-etcd,,,
dlm-etcd,History structure,,
dlm-etcd,* Maximum history depth,12.7 k,
dlm-etcd,* Maximum tag depth      [5],1,
dlm-etcd,,,
dlm-etcd,Biggest checkouts,,
dlm-etcd,* Number of directories  [6],407,
dlm-etcd,* Maximum path depth     [7],10,*
dlm-etcd,* Maximum path length    [8],139 B,*
dlm-etcd,* Number of files        [9],2.78 k,
dlm-etcd,* Total size of files    [6],30.9 MiB,
dlm-etcd,* Number of symlinks    [10],14,
dlm-etcd,* Number of submodules,0,
tern,Name,Value,Level of concern
tern,----------------------------,---------,------------------------------
tern,Overall repository size,,
tern,* Commits,,
tern,* Count,1.19 k,
tern,* Total size,832 KiB,
tern,* Trees,,
tern,* Count,3.48 k,
tern,* Total size,1.50 MiB,
tern,* Total tree entries,41.4 k,
tern,* Blobs,,
tern,* Count,2.77 k,
tern,* Total size,24.1 MiB,
tern,* Annotated tags,,
tern,* Count,0,
tern,* References,,
tern,* Count,34,
tern,* Branches,1,
tern,* Tags,29,
tern,* Remote-tracking refs,4,
tern,,,
tern,Biggest objects,,
tern,* Commits,,
tern,* Maximum size         [1],3.25 KiB,
tern,* Maximum parents      [2],2,
tern,* Trees,,
tern,* Maximum entries      [3],45,
tern,* Blobs,,
tern,* Maximum size         [4],2.88 MiB,
tern,,,
tern,History structure,,
tern,* Maximum history depth,1.05 k,
tern,* Maximum tag depth,0,
tern,,,
tern,Biggest checkouts,,
tern,* Number of directories  [5],53,
tern,* Maximum path depth     [6],11,*
tern,* Maximum path length    [6],112 B,*
tern,* Number of files        [6],368,
tern,* Total size of files    [7],6.16 MiB,
tern,* Number of symlinks     [6],4,
tern,* Number of submodules,0,
build,Name,Value,Level of concern
build,----------------------------,---------,------------------------------
build,Overall repository size,,
build,* Commits,,
build,* Count,1.80 k,
build,* Total size,1.03 MiB,
build,* Trees,,
build,* Count,7.92 k,
build,* Total size,2.79 MiB,
build,* Total tree entries,74.1 k,
build,* Blobs,,
build,* Count,3.88 k,
build,* Total size,33.6 MiB,
build,* Annotated tags,,
build,* Count,0,
build,* References,,
build,* Count,33,
build,* Branches,1,
build,* Remote-tracking refs,32,
build,,,
build,Biggest objects,,
build,* Commits,,
build,* Maximum size         [1],2.27 KiB,
build,* Maximum parents      [2],2,
build,* Trees,,
build,* Maximum entries      [3],81,
build,* Blobs,,
build,* Maximum size         [4],1.90 MiB,
build,,,
build,History structure,,
build,* Maximum history depth,1.66 k,
build,* Maximum tag depth,0,
build,,,
build,Biggest checkouts,,
build,* Number of directories  [5],174,
build,* Maximum path depth     [5],7,
build,* Maximum path length    [5],85 B,
build,* Number of files        [6],559,
build,* Total size of files    [7],7.15 MiB,
build,* Number of symlinks     [8],2,
build,* Number of submodules,0,
nvm,Name,Value,Level of concern
nvm,----------------------------,---------,------------------------------
nvm,Overall repository size,,
nvm,* Commits,,
nvm,* Count,2.28 k,
nvm,* Total size,1.33 MiB,
nvm,* Trees,,
nvm,* Count,3.71 k,
nvm,* Total size,2.56 MiB,
nvm,* Total tree entries,58.8 k,
nvm,* Blobs,,
nvm,* Count,3.74 k,
nvm,* Total size,86.7 MiB,
nvm,* Annotated tags,,
nvm,* Count,67,
nvm,* References,,
nvm,* Count,120,
nvm,* Branches,1,
nvm,* Tags,100,
nvm,* Remote-tracking refs,19,
nvm,,,
nvm,Biggest objects,,
nvm,* Commits,,
nvm,* Maximum size         [1],2.69 KiB,
nvm,* Maximum parents      [2],2,
nvm,* Trees,,
nvm,* Maximum entries      [3],94,
nvm,* Blobs,,
nvm,* Maximum size         [4],860 KiB,
nvm,,,
nvm,History structure,,
nvm,* Maximum history depth,2.14 k,
nvm,* Maximum tag depth      [5],1,
nvm,,,
nvm,Biggest checkouts,,
nvm,* Number of directories  [6],60,
nvm,* Maximum path depth     [6],11,*
nvm,* Maximum path length    [6],117 B,*
nvm,* Number of files        [6],353,
nvm,* Total size of files    [7],1.53 MiB,
nvm,* Number of symlinks,0,
nvm,* Number of submodules   [8],1,
linkerd2,Name,Value,Level of concern
linkerd2,----------------------------,---------,------------------------------
linkerd2,Overall repository size,,
linkerd2,* Commits,,
linkerd2,* Count,9.38 k,
linkerd2,* Total size,11.0 MiB,
linkerd2,* Trees,,
linkerd2,* Count,42.7 k,
linkerd2,* Total size,36.5 MiB,
linkerd2,* Total tree entries,896 k,
linkerd2,* Blobs,,
linkerd2,* Count,44.8 k,
linkerd2,* Total size,1.58 GiB,
linkerd2,* Annotated tags,,
linkerd2,* Count,219,
linkerd2,* References,,
linkerd2,* Count,567,
linkerd2,* Branches,1,
linkerd2,* Tags,384,
linkerd2,* Remote-tracking refs,182,
linkerd2,,,
linkerd2,Biggest objects,,
linkerd2,* Commits,,
linkerd2,* Maximum size         [1],18.0 KiB,
linkerd2,* Maximum parents      [2],2,
linkerd2,* Trees,,
linkerd2,* Maximum entries      [3],211,
linkerd2,* Blobs,,
linkerd2,* Maximum size         [4],1.04 MiB,
linkerd2,,,
linkerd2,History structure,,
linkerd2,* Maximum history depth,7.63 k,
linkerd2,* Maximum tag depth      [5],1,
linkerd2,,,
linkerd2,Biggest checkouts,,
linkerd2,* Number of directories  [6],347,
linkerd2,* Maximum path depth     [7],10,*
linkerd2,* Maximum path length    [7],127 B,*
linkerd2,* Number of files        [8],1.45 k,
linkerd2,* Total size of files    [9],14.9 MiB,
linkerd2,* Number of symlinks    [10],1,
linkerd2,* Number of submodules,0,
strimzi-kafka-operator,Name,Value,Level of concern
strimzi-kafka-operator,----------------------------,---------,------------------------------
strimzi-kafka-operator,Overall repository size,,
strimzi-kafka-operator,* Commits,,
strimzi-kafka-operator,* Count,7.29 k,
strimzi-kafka-operator,* Total size,5.71 MiB,
strimzi-kafka-operator,* Trees,,
strimzi-kafka-operator,* Count,101 k,
strimzi-kafka-operator,* Total size,49.6 MiB,
strimzi-kafka-operator,* Total tree entries,1.09 M,
strimzi-kafka-operator,* Blobs,,
strimzi-kafka-operator,* Count,51.8 k,
strimzi-kafka-operator,* Total size,1.20 GiB,
strimzi-kafka-operator,* Annotated tags,,
strimzi-kafka-operator,* Count,0,
strimzi-kafka-operator,* References,,
strimzi-kafka-operator,* Count,196,
strimzi-kafka-operator,* Branches,1,
strimzi-kafka-operator,* Tags,147,
strimzi-kafka-operator,* Remote-tracking refs,48,
strimzi-kafka-operator,,,
strimzi-kafka-operator,Biggest objects,,
strimzi-kafka-operator,* Commits,,
strimzi-kafka-operator,* Maximum size         [1],8.21 KiB,
strimzi-kafka-operator,* Maximum parents      [2],2,
strimzi-kafka-operator,* Trees,,
strimzi-kafka-operator,* Maximum entries      [3],365,
strimzi-kafka-operator,* Blobs,,
strimzi-kafka-operator,* Maximum size         [4],23.2 MiB,**
strimzi-kafka-operator,,,
strimzi-kafka-operator,History structure,,
strimzi-kafka-operator,* Maximum history depth,6.29 k,
strimzi-kafka-operator,* Maximum tag depth,0,
strimzi-kafka-operator,,,
strimzi-kafka-operator,Biggest checkouts,,
strimzi-kafka-operator,* Number of directories  [5],633,
strimzi-kafka-operator,* Maximum path depth     [6],12,*
strimzi-kafka-operator,* Maximum path length    [6],156 B,*
strimzi-kafka-operator,* Number of files        [7],2.67 k,
strimzi-kafka-operator,* Total size of files    [8],30.0 MiB,
strimzi-kafka-operator,* Number of symlinks     [9],35,
strimzi-kafka-operator,* Number of submodules,0,
bfe,Name,Value,Level of concern
bfe,----------------------------,---------,------------------------------
bfe,Overall repository size,,
bfe,* Commits,,
bfe,* Count,1.31 k,
bfe,* Total size,725 KiB,
bfe,* Trees,,
bfe,* Count,11.6 k,
bfe,* Total size,3.74 MiB,
bfe,* Total tree entries,101 k,
bfe,* Blobs,,
bfe,* Count,16.8 k,
bfe,* Total size,468 MiB,
bfe,* Annotated tags,,
bfe,* Count,0,
bfe,* References,,
bfe,* Count,44,
bfe,* Branches,1,
bfe,* Tags,20,
bfe,* Remote-tracking refs,23,
bfe,,,
bfe,Biggest objects,,
bfe,* Commits,,
bfe,* Maximum size         [1],15.2 KiB,
bfe,* Maximum parents      [2],2,
bfe,* Trees,,
bfe,* Maximum entries      [3],5.14 k,*****
bfe,* Blobs,,
bfe,* Maximum size         [4],59.9 MiB,******
bfe,,,
bfe,History structure,,
bfe,* Maximum history depth,1.04 k,
bfe,* Maximum tag depth,0,
bfe,,,
bfe,Biggest checkouts,,
bfe,* Number of directories  [5],970,
bfe,* Maximum path depth     [5],8,
bfe,* Maximum path length    [6],93 B,
bfe,* Number of files        [5],8.83 k,
bfe,* Total size of files    [7],123 MiB,
bfe,* Number of symlinks,0,
bfe,* Number of submodules,0,
dlm-CoreDNS,Name,Value,Level of concern
dlm-CoreDNS,----------------------------,---------,------------------------------
dlm-CoreDNS,Overall repository size,,
dlm-CoreDNS,* Commits,,
dlm-CoreDNS,* Count,4.48 k,
dlm-CoreDNS,* Total size,3.02 MiB,
dlm-CoreDNS,* Trees,,
dlm-CoreDNS,* Count,20.3 k,
dlm-CoreDNS,* Total size,12.8 MiB,
dlm-CoreDNS,* Total tree entries,351 k,
dlm-CoreDNS,* Blobs,,
dlm-CoreDNS,* Count,39.5 k,
dlm-CoreDNS,* Total size,598 MiB,
dlm-CoreDNS,* Annotated tags,,
dlm-CoreDNS,* Count,1,
dlm-CoreDNS,* References,,
dlm-CoreDNS,* Count,72,
dlm-CoreDNS,* Branches,1,
dlm-CoreDNS,* Tags,56,
dlm-CoreDNS,* Remote-tracking refs,15,
dlm-CoreDNS,,,
dlm-CoreDNS,Biggest objects,,
dlm-CoreDNS,* Commits,,
dlm-CoreDNS,* Maximum size         [1],3.92 KiB,
dlm-CoreDNS,* Maximum parents      [2],2,
dlm-CoreDNS,* Trees,,
dlm-CoreDNS,* Maximum entries      [3],642,
dlm-CoreDNS,* Blobs,,
dlm-CoreDNS,* Maximum size         [4],18.6 MiB,*
dlm-CoreDNS,,,
dlm-CoreDNS,History structure,,
dlm-CoreDNS,* Maximum history depth,3.79 k,
dlm-CoreDNS,* Maximum tag depth      [5],1,
dlm-CoreDNS,,,
dlm-CoreDNS,Biggest checkouts,,
dlm-CoreDNS,* Number of directories  [6],2.94 k,*
dlm-CoreDNS,* Maximum path depth     [6],14,*
dlm-CoreDNS,* Maximum path length    [6],132 B,*
dlm-CoreDNS,* Number of files        [6],14.1 k,
dlm-CoreDNS,* Total size of files    [7],200 MiB,
dlm-CoreDNS,* Number of symlinks     [8],8,
dlm-CoreDNS,* Number of submodules,0,
kruise,Name,Value,Level of concern
kruise,----------------------------,---------,------------------------------
kruise,Overall repository size,,
kruise,* Commits,,
kruise,* Count,1.12 k,
kruise,* Total size,761 KiB,
kruise,* Trees,,
kruise,* Count,19.8 k,
kruise,* Total size,6.15 MiB,
kruise,* Total tree entries,158 k,
kruise,* Blobs,,
kruise,* Count,37.6 k,
kruise,* Total size,505 MiB,
kruise,* Annotated tags,,
kruise,* Count,0,
kruise,* References,,
kruise,* Count,72,
kruise,* Branches,1,
kruise,* Tags,45,
kruise,* Remote-tracking refs,26,
kruise,,,
kruise,Biggest objects,,
kruise,* Commits,,
kruise,* Maximum size         [1],2.58 KiB,
kruise,* Maximum parents      [2],2,
kruise,* Trees,,
kruise,* Maximum entries      [3],312,
kruise,* Blobs,,
kruise,* Maximum size         [4],11.1 MiB,*
kruise,,,
kruise,History structure,,
kruise,* Maximum history depth,971,
kruise,* Maximum tag depth,0,
kruise,,,
kruise,Biggest checkouts,,
kruise,* Number of directories  [5],5.70 k,**
kruise,* Maximum path depth     [5],18,*
kruise,* Maximum path length    [5],182 B,*
kruise,* Number of files        [5],19.7 k,
kruise,* Total size of files    [6],206 MiB,
kruise,* Number of symlinks     [7],11,
kruise,* Number of submodules,0,
Vulkan-Loader,Name,Value,Level of concern
Vulkan-Loader,----------------------------,---------,------------------------------
Vulkan-Loader,Overall repository size,,
Vulkan-Loader,* Commits,,
Vulkan-Loader,* Count,13.8 k,
Vulkan-Loader,* Total size,5.11 MiB,
Vulkan-Loader,* Trees,,
Vulkan-Loader,* Count,33.3 k,
Vulkan-Loader,* Total size,29.8 MiB,
Vulkan-Loader,* Total tree entries,751 k,
Vulkan-Loader,* Blobs,,
Vulkan-Loader,* Count,30.5 k,
Vulkan-Loader,* Total size,3.43 GiB,
Vulkan-Loader,* Annotated tags,,
Vulkan-Loader,* Count,2,
Vulkan-Loader,* References,,
Vulkan-Loader,* Count,323,
Vulkan-Loader,* Branches,1,
Vulkan-Loader,* Tags,275,
Vulkan-Loader,* Remote-tracking refs,47,
Vulkan-Loader,,,
Vulkan-Loader,Biggest objects,,
Vulkan-Loader,* Commits,,
Vulkan-Loader,* Maximum size         [1],5.86 KiB,
Vulkan-Loader,* Maximum parents      [2],2,
Vulkan-Loader,* Trees,,
Vulkan-Loader,* Maximum entries      [3],245,
Vulkan-Loader,* Blobs,,
Vulkan-Loader,* Maximum size         [4],11.1 MiB,*
Vulkan-Loader,,,
Vulkan-Loader,History structure,,
Vulkan-Loader,* Maximum history depth,8.97 k,
Vulkan-Loader,* Maximum tag depth      [5],1,
Vulkan-Loader,,,
Vulkan-Loader,Biggest checkouts,,
Vulkan-Loader,* Number of directories  [6],161,
Vulkan-Loader,* Maximum path depth     [7],8,
Vulkan-Loader,* Maximum path length    [8],125 B,*
Vulkan-Loader,* Number of files        [9],2.06 k,
Vulkan-Loader,* Total size of files    [9],63.6 MiB,
Vulkan-Loader,* Number of symlinks,0,
Vulkan-Loader,* Number of submodules  [10],2,
pia,Name,Value,Level of concern
pia,----------------------------,---------,------------------------------
pia,Overall repository size,,
pia,* Commits,,
pia,* Count,2.53 k,
pia,* Total size,1.06 MiB,
pia,* Trees,,
pia,* Count,13.4 k,
pia,* Total size,6.12 MiB,
pia,* Total tree entries,156 k,
pia,* Blobs,,
pia,* Count,8.78 k,
pia,* Total size,397 MiB,
pia,* Annotated tags,,
pia,* Count,0,
pia,* References,,
pia,* Count,36,
pia,* Branches,1,
pia,* Tags,23,
pia,* Remote-tracking refs,12,
pia,,,
pia,Biggest objects,,
pia,* Commits,,
pia,* Maximum size         [1],6.34 KiB,
pia,* Maximum parents      [2],2,
pia,* Trees,,
pia,* Maximum entries      [3],40,
pia,* Blobs,,
pia,* Maximum size         [4],5.04 MiB,
pia,,,
pia,History structure,,
pia,* Maximum history depth,1.43 k,
pia,* Maximum tag depth,0,
pia,,,
pia,Biggest checkouts,,
pia,* Number of directories  [5],106,
pia,* Maximum path depth     [6],8,
pia,* Maximum path length    [5],140 B,*
pia,* Number of files        [7],491,
pia,* Total size of files    [7],13.6 MiB,
pia,* Number of symlinks,0,
pia,* Number of submodules,0,
kubeapps,Name,Value,Level of concern
kubeapps,----------------------------,---------,------------------------------
kubeapps,Overall repository size,,
kubeapps,* Commits,,
kubeapps,* Count,5.82 k,
kubeapps,* Total size,13.8 MiB,
kubeapps,* Trees,,
kubeapps,* Count,33.7 k,
kubeapps,* Total size,14.4 MiB,
kubeapps,* Total tree entries,386 k,
kubeapps,* Blobs,,
kubeapps,* Count,38.3 k,
kubeapps,* Total size,1.85 GiB,
kubeapps,* Annotated tags,,
kubeapps,* Count,19,
kubeapps,* References,,
kubeapps,* Count,153,
kubeapps,* Branches,1,
kubeapps,* Tags,88,
kubeapps,* Remote-tracking refs,64,
kubeapps,,,
kubeapps,Biggest objects,,
kubeapps,* Commits,,
kubeapps,* Maximum size         [1],26.9 KiB,
kubeapps,* Maximum parents      [2],2,
kubeapps,* Trees,,
kubeapps,* Maximum entries      [3],252,
kubeapps,* Blobs,,
kubeapps,* Maximum size         [4],39.5 MiB,****
kubeapps,,,
kubeapps,History structure,,
kubeapps,* Maximum history depth,5.49 k,
kubeapps,* Maximum tag depth      [5],1,
kubeapps,,,
kubeapps,Biggest checkouts,,
kubeapps,* Number of directories  [6],1.10 k,
kubeapps,* Maximum path depth     [6],15,*
kubeapps,* Maximum path length    [7],145 B,*
kubeapps,* Number of files        [6],5.65 k,
kubeapps,* Total size of files    [8],95.1 MiB,
kubeapps,* Number of symlinks     [9],17,
kubeapps,* Number of submodules  [10],4,
node-auto-test,Name,Value,Level of concern
node-auto-test,----------------------------,---------,------------------------------
node-auto-test,Overall repository size,,
node-auto-test,* Commits,,
node-auto-test,* Count,85.5 k,
node-auto-test,* Total size,79.8 MiB,
node-auto-test,* Trees,,
node-auto-test,* Count,350 k,
node-auto-test,* Total size,2.81 GiB,*
node-auto-test,* Total tree entries,55.9 M,*
node-auto-test,* Blobs,,
node-auto-test,* Count,490 k,
node-auto-test,* Total size,12.9 GiB,*
node-auto-test,* Annotated tags,,
node-auto-test,* Count,812,
node-auto-test,* References,,
node-auto-test,* Count,970,
node-auto-test,* Branches,1,
node-auto-test,* Tags,820,
node-auto-test,* Remote-tracking refs,149,
node-auto-test,,,
node-auto-test,Biggest objects,,
node-auto-test,* Commits,,
node-auto-test,* Maximum size         [1],14.1 KiB,
node-auto-test,* Maximum parents      [2],2,
node-auto-test,* Trees,,
node-auto-test,* Maximum entries      [3],3.40 k,***
node-auto-test,* Blobs,,
node-auto-test,* Maximum size         [4],10.6 MiB,*
node-auto-test,,,
node-auto-test,History structure,,
node-auto-test,* Maximum history depth,38.4 k,
node-auto-test,* Maximum tag depth      [5],1,
node-auto-test,,,
node-auto-test,Biggest checkouts,,
node-auto-test,* Number of directories  [6],4.00 k,**
node-auto-test,* Maximum path depth     [7],30,***
node-auto-test,* Maximum path length    [7],240 B,**
node-auto-test,* Number of files        [8],48.4 k,
node-auto-test,* Total size of files    [9],514 MiB,
node-auto-test,* Number of symlinks    [10],114,
node-auto-test,* Number of submodules  [11],3,
carvel-ytt,Name,Value,Level of concern
carvel-ytt,----------------------------,---------,------------------------------
carvel-ytt,Overall repository size,,
carvel-ytt,* Commits,,
carvel-ytt,* Count,1.43 k,
carvel-ytt,* Total size,689 KiB,
carvel-ytt,* Trees,,
carvel-ytt,* Count,5.91 k,
carvel-ytt,* Total size,2.88 MiB,
carvel-ytt,* Total tree entries,76.4 k,
carvel-ytt,* Blobs,,
carvel-ytt,* Count,5.81 k,
carvel-ytt,* Total size,38.9 MiB,
carvel-ytt,* Annotated tags,,
carvel-ytt,* Count,35,
carvel-ytt,* References,,
carvel-ytt,* Count,180,
carvel-ytt,* Branches,1,
carvel-ytt,* Tags,107,
carvel-ytt,* Remote-tracking refs,72,
carvel-ytt,,,
carvel-ytt,Biggest objects,,
carvel-ytt,* Commits,,
carvel-ytt,* Maximum size         [1],1.47 KiB,
carvel-ytt,* Maximum parents      [2],2,
carvel-ytt,* Trees,,
carvel-ytt,* Maximum entries      [3],77,
carvel-ytt,* Blobs,,
carvel-ytt,* Maximum size         [4],474 KiB,
carvel-ytt,,,
carvel-ytt,History structure,,
carvel-ytt,* Maximum history depth,1.11 k,
carvel-ytt,* Maximum tag depth      [5],1,
carvel-ytt,,,
carvel-ytt,Biggest checkouts,,
carvel-ytt,* Number of directories  [6],262,
carvel-ytt,* Maximum path depth     [6],9,
carvel-ytt,* Maximum path length    [6],115 B,*
carvel-ytt,* Number of files        [6],1.19 k,
carvel-ytt,* Total size of files    [7],4.47 MiB,
carvel-ytt,* Number of symlinks,0,
carvel-ytt,* Number of submodules,0,
volcano,Name,Value,Level of concern
volcano,----------------------------,---------,------------------------------
volcano,Overall repository size,,
volcano,* Commits,,
volcano,* Count,6.24 k,
volcano,* Total size,3.19 MiB,
volcano,* Trees,,
volcano,* Count,34.8 k,
volcano,* Total size,11.7 MiB,
volcano,* Total tree entries,323 k,
volcano,* Blobs,,
volcano,* Count,37.9 k,
volcano,* Total size,689 MiB,
volcano,* Annotated tags,,
volcano,* Count,18,
volcano,* References,,
volcano,* Count,64,
volcano,* Branches,1,
volcano,* Tags,39,
volcano,* Remote-tracking refs,24,
volcano,,,
volcano,Biggest objects,,
volcano,* Commits,,
volcano,* Maximum size         [1],2.49 KiB,
volcano,* Maximum parents      [2],2,
volcano,* Trees,,
volcano,* Maximum entries      [3],411,
volcano,* Blobs,,
volcano,* Maximum size         [4],35.2 MiB,***
volcano,,,
volcano,History structure,,
volcano,* Maximum history depth,3.28 k,
volcano,* Maximum tag depth      [5],1,
volcano,,,
volcano,Biggest checkouts,,
volcano,* Number of directories  [6],2.22 k,*
volcano,* Maximum path depth     [7],13,*
volcano,* Maximum path length    [6],171 B,*
volcano,* Number of files        [8],8.39 k,
volcano,* Total size of files    [9],87.4 MiB,
volcano,* Number of symlinks    [10],28,
volcano,* Number of submodules  [11],1,
tempo,Name,Value,Level of concern
tempo,----------------------------,---------,------------------------------
tempo,Overall repository size,,
tempo,* Commits,,
tempo,* Count,3.70 k,
tempo,* Total size,3.59 MiB,
tempo,* Trees,,
tempo,* Count,39.2 k,
tempo,* Total size,16.1 MiB,
tempo,* Total tree entries,430 k,
tempo,* Blobs,,
tempo,* Count,64.1 k,
tempo,* Total size,1.20 GiB,
tempo,* Annotated tags,,
tempo,* Count,56,
tempo,* References,,
tempo,* Count,318,
tempo,* Branches,1,
tempo,* Tags,56,
tempo,* Remote-tracking refs,261,
tempo,,,
tempo,Biggest objects,,
tempo,* Commits,,
tempo,* Maximum size         [1],22.8 KiB,
tempo,* Maximum parents      [2],2,
tempo,* Trees,,
tempo,* Maximum entries      [3],319,
tempo,* Blobs,,
tempo,* Maximum size         [4],49.2 MiB,*****
tempo,,,
tempo,History structure,,
tempo,* Maximum history depth,3.17 k,
tempo,* Maximum tag depth      [5],1,
tempo,,,
tempo,Biggest checkouts,,
tempo,* Number of directories  [6],2.41 k,*
tempo,* Maximum path depth     [7],14,*
tempo,* Maximum path length    [8],167 B,*
tempo,* Number of files        [6],11.7 k,
tempo,* Total size of files    [9],180 MiB,
tempo,* Number of symlinks    [10],16,
tempo,* Number of submodules  [10],1,
ci-tmp-libuv-node,Name,Value,Level of concern
ci-tmp-libuv-node,----------------------------,---------,------------------------------
ci-tmp-libuv-node,Overall repository size,,
ci-tmp-libuv-node,* Commits,,
ci-tmp-libuv-node,* Count,43.3 k,
ci-tmp-libuv-node,* Total size,33.8 MiB,
ci-tmp-libuv-node,* Trees,,
ci-tmp-libuv-node,* Count,218 k,
ci-tmp-libuv-node,* Total size,1.45 GiB,
ci-tmp-libuv-node,* Total tree entries,29.0 M,
ci-tmp-libuv-node,* Blobs,,
ci-tmp-libuv-node,* Count,457 k,
ci-tmp-libuv-node,* Total size,11.1 GiB,*
ci-tmp-libuv-node,* Annotated tags,,
ci-tmp-libuv-node,* Count,0,
ci-tmp-libuv-node,* References,,
ci-tmp-libuv-node,* Count,36,
ci-tmp-libuv-node,* Branches,1,
ci-tmp-libuv-node,* Remote-tracking refs,35,
ci-tmp-libuv-node,,,
ci-tmp-libuv-node,Biggest objects,,
ci-tmp-libuv-node,* Commits,,
ci-tmp-libuv-node,* Maximum size         [1],14.1 KiB,
ci-tmp-libuv-node,* Maximum parents      [2],2,
